Type,ID,Titre,Parent,Owner,Contributors,Poids,Priorité,Valeur départ,Valeur actuelle,Valeur cible,Valeur révisée,Unité,Stop,Taux avancement
Objectif,1,Déployer les principaux points d'amélioration du diagnostic commercial,,,,%,P1,,,,,,,
Objectif,2,Fournir au commerce un écosystème complet qui soutient les ventes (Marketing),,,,%,P1,,,,,,,
Objectif,3,Oeuvrer pour la mission,,,,%,P1,,,,,,,
Objectif,4,Fiabiliser la logistique ,,,,%,P1,,,,,,,
Objectif,5,Se mettre en position sereine pour la pérénité d'Oé,,,,%,P1,,,,,,,
Objectif,6,Faire des Grands Comptes RHF notre socle de croissance rentable,,,,%,P1,,,,,,,
Objectif,7,Installer Oé comme une marque qui tourne en linéaire GMS,,,,%,P1,,,,,,,
Objectif,9,Export - Nouveaux Marchés et Comptes Existants,,,,%,P1,,,,,,,
Objectif,12,"Faire naître le Système Commercial Oé. Paris et Lyon tournent, et chaque client connaît son RT.",,,,%,P1,,,,,,,
Sous-objectif,1.1,"Mieux prioriser les Leads, Prospects et Clients",1,Thomas,,30%,P1,,,,,,,
Sous-objectif,1.2,Simplifier et clarifier le portefeuille,1,Fx,,20%,,,,,,,,
Sous-objectif,1.3,Renforcer l’exécution commerciale,1,Fx,,30%,P1,,,,,,,
Sous-objectif,2.1,Les équipes commerciales disposent de supports performants,2,Ines,,20%,,,,,,,,
Sous-objectif,2.2,Les outils digitaux soutiennent efficacement le parcours commercial,2,Juliette,,20%,,,,,,,,
Sous-objectif,2.3,Le développement commercial est soutenu sur tous les marchés,2,Ines,,20%,,,,,,,,
Sous-objectif,2.4,Les temps forts commerciaux sont accompagnés par des actions marketing,2,Ines,,20%,,,,,,,,
Sous-objectif,2.5,Inès est autonome et l'équipe marketing poursuit son activité sans perte de rythme.,2,Juliette,,20%,,,,,,,,
Sous-objectif,3.1,Commencer la certification Bcorp,3,Julie,,75%,,,,,,,,
Sous-objectif,3.2,Définir le plan d'action suite à l'audit Aupeam,3,Julie,,25%,P1,,,,,,,
Sous-objectif,4.1,Consolider l'offre transporteurs,4,Julie,,30%,,,,,,,,
Sous-objectif,4.2,Maîtriser le sujet des douanes,4,Julie,,20%,P1,,,,,,,
Sous-objectif,4.3,Être ready pour eurostar,4,Fiona,,20%,P1,,,,,,,
Sous-objectif,4.4,Lancer une production d'essence en canette,4,Fiona,,30%,P1,,,,,,,
Sous-objectif,5.1,Avancer dans notre plan d'étalement de dettes,5,Fx,,20%,P1,,,,,,,
Sous-objectif,5.2,Se donner les moyens de réaliser la marge objectif en 2026,5,Fx,,50%,P1,,,,,,,
Sous-objectif,5.3,Sécuriser Oé en termes de trésorerie sur 2026-2027,5,Fx,,30%,P1,,,,,,,
Sous-objectif,6.1,Renforcer le partenariat opérationnel Episaveurs ,6,Christelle,,20%,,,,,,,,
Sous-objectif,6.2,Pérenniser la relation France Boissons,6,Christelle,,15%,,,,,,,,
Sous-objectif,6.4,Entretenir la relation avec le Pain Quotidien,6,Thomas,,10%,,,,,,,,
Sous-objectif,6.5,Closer Deux grands comptes directs à potentiel,6,Christelle,,10%,,,,,,,,
Sous-objectif,6.6,Sécuriser les volumes de nos distributeurs régionaux,6,Christelle,,10%,,,,,,,,
Sous-objectif,6.7,Traiter nos top clients CHR directs,6,Christelle,,10%,,,,,,,,
Sous-objectif,6.8,Sécuriser Métro,6,Christelle,,5%,,,,,,,,
Sous-objectif,6.8,Sécuriser Métro,6,Christelle,,5%,,,,,,,,
Sous-objectif,6.9,Verrouiller le partenariat V&B et le rendre prêt au décollage,6,Thomas,,5%,P1,,,,,,,
Sous-objectif,6.10,Faire entrer Oé chez les leaders de la restauration collective et de l'hôtellerie.,6,Thomas,,2%,P1,,,,,,,
