Id facture,Date,Code journal,Numéro de compte,Libellé de compte,Taux de TVA du compte,Code pays du compte,Libellé de pièce,Libellé de ligne,Numéro de pièce,Numéro de facture,Identifiant du tiers,Tiers,SIREN,Famille de catégories,Catégorie,Code analytique,Devise,Taux de change,Débit (Devise),Crédit (Devise),Solde (Devise),Débit,Crédit,Solde,Date d’échéance,Bilan/P&L,Code nature,Libellé nature,Débit-Crédit,Mois,Code analytique écritures,Année,Ligne uniques (technique ne pas l'utiliser),Numéro de compte 2,Libellé numéro de compte 2,Regroupement,Canal vente,Regroupement P&L,Critère YTD,Budget,x,x,x
19049489169,1/1/2026,OD,486000000,Charges constatées d'avance,,,CCA – SNCF VOYAGEURS – 07/03/2025 au 07/03/2026 – 906415675 – Extourne,,0OKGDM8NQV,,125073086,SNCF VOYAGEURS,519037584,Périodes,Période à catégoriser,,EUR,1,"0,00","64,77","-64,77","0,00 €","64,77 €","-64,77 €",,Bilan,#N/A,,"64,77 €",1,FALSE,2026,1,48,#REF!,Autre,A ne pas prendre en compte,A ne pas prendre en compte,Oui,#N/A,,TRUE,
19049489171,1/1/2026,OD,625100000,Voyages et déplacements,pas de TVA,,CCA – SNCF VOYAGEURS – 07/03/2025 au 07/03/2026 – 906415675 – Extourne,,0OKGDM8NQV,,125073086,SNCF VOYAGEURS,519037584,Périodes,Période à catégoriser,,EUR,1,"64,77","0,00","64,77","64,77 €","0,00 €","64,77 €",,P&L,15,Frais de déplacement,"-64,77 €",1,FALSE,2026,1,62,#REF!,Résultat,A ne pas prendre en compte,A ne pas prendre en compte,Oui,#N/A,,TRUE,
19049489171,1/1/2026,OD,625100000,Voyages et déplacements,pas de TVA,,CCA – SNCF VOYAGEURS – 07/03/2025 au 07/03/2026 – 906415675 – Extourne,,0OKGDM8NQV,,125073086,SNCF VOYAGEURS,519037584,Analytique écritures comptables,Sales-Grands Comptes,S6,EUR,1,"64,77","0,00","64,77","64,77 €","0,00 €","64,77 €",,P&L,15,Frais de déplacement,"-64,77 €",1,S6-15,2026,2,62,#REF!,Résultat,A ne pas prendre en compte,Achats de prestation de services,Oui,Sales,,TRUE,
19049489169,1/1/2026,OD,486000000,Charges constatées d'avance,,,CCA – SNCF VOYAGEURS – 07/03/2025 au 07/03/2026 – 906415675 – Extourne,,0OKGDM8NQV,,125073086,SNCF VOYAGEURS,519037584,Analytique écritures comptables,Sales-Grands Comptes,S6,EUR,1,"0,00","64,77","-64,77","0,00 €","64,77 €","-64,77 €",,Bilan,#N/A,,"64,77 €",1,#N/A,2026,2,48,#REF!,Autre,A ne pas prendre en compte,A ne pas prendre en compte,Oui,Sales,,TRUE,
16346216650,2/1/2026,BQ5,401100494,BPIFRANCE,,,DE BPIFRANCE MOTIF REF RUM-01322523-18185460,,IV4ZRYXH7E,,113116950,BPIFRANCE,320252489,Périodes,Période à catégoriser,,EUR,1,"2 280,00","0,00","2 280,00","2 280,00 €","0,00 €","2 280,00 €",,Bilan,#N/A,,"-2 280,00 €",1,FALSE,2026,1,40,#REF!,Fournisseurs et comptes rattachés,A ne pas prendre en compte,A ne pas prendre en compte,Oui,#N/A,,TRUE,
16346216649,2/1/2026,BQ5,512102400,Nef Pro - Nef Pro,,,DE BPIFRANCE MOTIF REF RUM-01322523-18185460,,IV4ZRYXH7E,,113116950,BPIFRANCE,320252489,Périodes,Période à catégoriser,,EUR,1,"0,00","2 280,00","-2 280,00","0,00 €","2 280,00 €","-2 280,00 €",,Bilan,#N/A,,"2 280,00 €",1,FALSE,2026,1,51,#REF!,"Banques, établissements financiers et assimilés ",A ne pas prendre en compte,A ne pas prendre en compte,Oui,#N/A,,TRUE,
16346216650,2/1/2026,BQ5,401100494,BPIFRANCE,,,DE BPIFRANCE MOTIF REF RUM-01322523-18185460,,IV4ZRYXH7E,,113116950,BPIFRANCE,320252489,Analytique écritures comptables,Frais financiers,T1,EUR,1,"2 280,00","0,00","2 280,00","2 280,00 €","0,00 €","2 280,00 €",,Bilan,#N/A,,"-2 280,00 €",1,#N/A,2026,2,40,#REF!,Fournisseurs et comptes rattachés,A ne pas prendre en compte,A ne pas prendre en compte,Oui,Frais financiers,,TRUE,
16346216649,2/1/2026,BQ5,512102400,Nef Pro - Nef Pro,,,DE BPIFRANCE MOTIF REF RUM-01322523-18185460,,IV4ZRYXH7E,,113116950,BPIFRANCE,320252489,Analytique écritures comptables,Frais financiers,T1,EUR,1,"0,00","2 280,00","-2 280,00","0,00 €","2 280,00 €","-2 280,00 €",,Bilan,#N/A,,"2 280,00 €",1,#N/A,2026,2,51,#REF!,"Banques, établissements financiers et assimilés ",A ne pas prendre en compte,A ne pas prendre en compte,Oui,Frais financiers,,TRUE,
16346208154,2/1/2026,BQ1,401100494,BPIFRANCE,,,Bpifrance 5533563 F2601/000001137,,OYTZ4DMVAD,,113116950,BPIFRANCE,320252489,Périodes,Période à catégoriser,,EUR,1,"145,84","0,00","145,84","145,84 €","0,00 €","145,84 €",,Bilan,#N/A,,"-145,84 €",1,FALSE,2026,1,40,#REF!,Fournisseurs et comptes rattachés,A ne pas prendre en compte,A ne pas prendre en compte,Oui,#N/A,,TRUE,
16346208150,2/1/2026,BQ1,512101900,Qonto - QONTO - Compte principal,,,Bpifrance 5533563 F2601/000001137,,OYTZ4DMVAD,,113116950,BPIFRANCE,320252489,Périodes,Période à catégoriser,,EUR,1,"0,00","145,84","-145,84","0,00 €","145,84 €","-145,84 €",,Bilan,#N/A,,"145,84 €",1,FALSE,2026,1,51,#REF!,"Banques, établissements financiers et assimilés ",A ne pas prendre en compte,A ne pas prendre en compte,Oui,#N/A,,TRUE,
16346208154,2/1/2026,BQ1,401100494,BPIFRANCE,,,Bpifrance 5533563 F2601/000001137,,OYTZ4DMVAD,,113116950,BPIFRANCE,320252489,Analytique écritures comptables,Frais financiers,T1,EUR,1,"145,84","0,00","145,84","145,84 €","0,00 €","145,84 €",,Bilan,#N/A,,"-145,84 €",1,#N/A,2026,2,40,#REF!,Fournisseurs et comptes rattachés,A ne pas prendre en compte,A ne pas prendre en compte,Oui,Frais financiers,,TRUE,
